Year,Poem
Juvenilia,Mad Girl's Love Song
Juvenilia,Demon Lover
Juvenilia,Cinderella
Juvenilia,Family Reunion
Juvenilia,Bitter Strawberries
1956,Pursuit
1956,Soliloquy of the Solipsist
1956,Miss Drake
1956,Channel Crossing
1956,Two Sisters of Persephone
1957,Sow
1958,Sculptor
1958,Full Fathom Five
1958,Death of Myth-Making
1958,Virgin in a Tree
1958,Hardcastle Crags
1959,Metaphors
1959,The Colossus
1959,The Stones
1959,Mushrooms
1959,Aftermath
1959,The Eye-Mote
1959,The Thin People
1959,The Disquieting Muses
1959,The Manor Garden
1960,You're
1960,Stillborn
1960,Love Letter
1960,Candles
1960,Suicide Off Egg Rock
1960,Blue Moles
1960,The Beekeeper's Daughter
1961,Face Lift
1961,Morning Song
1961,Tulips
1961,Wuthering Heights
1961,The Moon and the Yew
1961,Mirror
1961,I Am Vertical
1961,The Bee Meeting
1962,Arrival of the Bee Box
1962,Stings
1962,The Swarm
1962,Wintering
1962,Poppies in July
1962,The Applicant
1962,Daddy
1962,Medusa
1962,Lesbos
1962,Cut
1962,Ariel
1962,Poppies in October
1962,Nick and the Candlestick
1962,Lady Lazarus
1962,Stopped Dead
1963,The Munich Mannequins
1963,Child
1963,Edge
